6.Dia Arrecadação,2. Valor Arrecadação Bruta Original
27 fev 2018,"2.236.083.771,19"
26 fev 2018,"1.463.722.263,64"
23 fev 2018,"17.070.300.643,96"
22 fev 2018,"2.062.573.699,38"
21 fev 2018,"1.397.368.918,76"
20 fev 2018,"17.784.134.636,41"
19 fev 2018,"2.664.108.296,37"
16 fev 2018,"4.059.857.182,35"
15 fev 2018,"1.623.451.663,66"
14 fev 2018,"726.161.001,18"
09 fev 2018,"1.401.744.573,05"
08 fev 2018,"691.802.463,31"
07 fev 2018,"1.325.486.521,40"
06 fev 2018,"763.423.233,87"
05 fev 2018,"2.711.375.784,42"
02 fev 2018,"678.511.073,36"
01 fev 2018,"911.811.977,80"
31 jan 2018,"47.022.829.412,63"
30 jan 2018,"7.387.980.980,78"
29 jan 2018,"3.464.169.539,08"
26 jan 2018,"1.348.724.441,61"
25 jan 2018,"12.379.636.641,55"
24 jan 2018,"9.338.972.391,27"
23 jan 2018,"1.842.204.220,44"
22 jan 2018,"6.341.816.060,56"
19 jan 2018,"17.570.456.715,39"
18 jan 2018,"2.250.249.756,25"
17 jan 2018,"1.478.711.878,53"
16 jan 2018,"1.045.233.908,76"
15 jan 2018,"4.758.446.663,83"
12 jan 2018,"758.835.727,15"
11 jan 2018,"783.857.421,63"
10 jan 2018,"1.584.662.390,74"
09 jan 2018,"820.720.602,40"
08 jan 2018,"1.507.404.123,17"
05 jan 2018,"1.037.168.004,36"
04 jan 2018,"6.143.903.446,20"
03 jan 2018,"985.650.182,47"
02 jan 2018,"952.979.270,89"
29 dez 2017,"3.982.532.510,63"
28 dez 2017,"15.245.617.415,06"
27 dez 2017,"3.211.325.726,97"
26 dez 2017,"5.333.711.461,78"
22 dez 2017,"16.604.608.933,27"
21 dez 2017,"2.493.861.411,71"
20 dez 2017,"17.815.772.244,78"
19 dez 2017,"3.435.542.343,09"
18 dez 2017,"2.133.134.668,97"
15 dez 2017,"2.041.291.552,40"
14 dez 2017,"2.247.380.875,04"
13 dez 2017,"2.916.893.732,05"
12 dez 2017,"1.048.483.419,03"
11 dez 2017,"1.074.732.693,19"
08 dez 2017,"2.082.662.362,77"
07 dez 2017,"1.221.901.844,00"
06 dez 2017,"1.033.993.930,64"
05 dez 2017,"9.261.035.814,70"
04 dez 2017,"1.082.136.370,78"
01 dez 2017,"1.269.968.343,79"
30 nov 2017,"22.518.765.666,33"
29 nov 2017,"3.233.675.146,16"
28 nov 2017,"2.144.863.394,05"
27 nov 2017,"1.701.000.101,79"
24 nov 2017,"17.038.177.587,34"
23 nov 2017,"3.066.798.565,64"
22 nov 2017,"1.420.143.621,12"
21 nov 2017,"3.073.089.057,74"
20 nov 2017,"8.028.403.787,02"
17 nov 2017,"9.155.266.669,49"
16 nov 2017,"4.187.119.655,89"
14 nov 2017,"2.863.738.984,92"
13 nov 2017,"1.604.322.608,76"
10 nov 2017,"1.406.306.202,46"
09 nov 2017,"876.094.779,71"
08 nov 2017,"756.410.442,07"
07 nov 2017,"1.173.041.706,32"
06 nov 2017,"3.144.318.895,14"
03 nov 2017,"2.268.344.764,51"
01 nov 2017,"1.039.150.477,27"
31 out 2017,"29.689.104.550,57"
30 out 2017,"4.708.239.150,90"
27 out 2017,"1.656.054.939,11"
26 out 2017,"1.141.220.851,03"
25 out 2017,"18.848.063.613,33"
24 out 2017,"1.877.440.542,77"
23 out 2017,"1.495.893.041,03"
20 out 2017,"16.364.873.608,46"
19 out 2017,"2.326.896.493,77"
18 out 2017,"1.353.571.271,70"
17 out 2017,"1.124.947.981,32"
16 out 2017,"4.305.962.075,18"
13 out 2017,"1.266.698.639,80"
11 out 2017,"1.324.972.889,10"
10 out 2017,"1.548.011.562,06"
09 out 2017,"958.444.598,77"
06 out 2017,"937.198.371,44"
05 out 2017,"871.776.614,32"
04 out 2017,"2.950.670.964,14"
03 out 2017,"831.285.224,75"
02 out 2017,"1.092.244.078,45"
29 set 2017,"19.128.205.373,44"
28 set 2017,"2.746.796.268,10"
27 set 2017,"1.371.699.775,81"
26 set 2017,"1.144.340.646,59"
25 set 2017,"18.505.914.638,40"
22 set 2017,"1.554.214.935,61"
21 set 2017,"1.387.929.973,41"
20 set 2017,"16.366.702.719,65"
19 set 2017,"2.612.349.660,09"
18 set 2017,"1.411.397.697,18"
15 set 2017,"2.698.567.150,42"
14 set 2017,"965.313.207,61"
13 set 2017,"2.652.357.123,73"
12 set 2017,"863.020.243,28"
11 set 2017,"1.178.529.676,62"
08 set 2017,"1.049.658.713,08"
06 set 2017,"1.237.553.388,63"
05 set 2017,"3.136.312.778,76"
04 set 2017,"763.788.477,97"
01 set 2017,"606.855.371,47"
31 ago 2017,"17.239.857.885,70"
30 ago 2017,"2.424.358.386,44"
29 ago 2017,"1.520.445.876,03"
28 ago 2017,"1.304.803.180,77"
25 ago 2017,"14.083.952.433,62"
24 ago 2017,"1.641.466.109,24"
23 ago 2017,"2.533.836.171,28"
22 ago 2017,"1.053.522.362,50"
21 ago 2017,"5.305.158.942,22"
18 ago 2017,"13.087.717.478,55"
17 ago 2017,"1.503.215.788,21"
16 ago 2017,"1.027.578.333,43"
15 ago 2017,"3.338.470.597,25"
14 ago 2017,"2.029.629.366,11"
11 ago 2017,"759.702.033,24"
10 ago 2017,"1.155.779.619,78"
09 ago 2017,"1.170.282.477,51"
08 ago 2017,"702.664.245,07"
07 ago 2017,"1.171.096.551,76"
04 ago 2017,"665.077.139,84"
03 ago 2017,"2.847.004.333,05"
02 ago 2017,"776.670.391,79"
01 ago 2017,"2.006.301.564,38"
31 jul 2017,"24.623.400.048,82"
28 jul 2017,"3.193.571.965,67"
27 jul 2017,"1.632.887.717,31"
26 jul 2017,"1.265.461.822,83"
25 jul 2017,"15.851.743.974,59"
24 jul 2017,"2.081.679.950,66"
21 jul 2017,"1.092.503.364,07"
20 jul 2017,"16.780.161.081,52"
19 jul 2017,"2.197.497.584,51"
18 jul 2017,"1.364.030.097,44"
17 jul 2017,"1.208.699.113,84"
14 jul 2017,"2.566.979.418,96"
13 jul 2017,"2.578.863.322,32"
12 jul 2017,"1.114.601.471,60"
11 jul 2017,"660.488.106,82"
10 jul 2017,"1.290.204.193,33"
07 jul 2017,"901.720.134,55"
06 jul 2017,"749.257.297,68"
05 jul 2017,"3.292.304.785,97"
04 jul 2017,"689.092.810,03"
03 jul 2017,"808.507.799,66"
30 jun 2017,"14.692.141.851,74"
29 jun 2017,"2.327.043.765,11"
28 jun 2017,"1.319.169.306,54"
27 jun 2017,"870.251.467,16"
26 jun 2017,"1.045.040.547,36"
23 jun 2017,"15.147.717.176,25"
22 jun 2017,"1.870.126.775,35"
21 jun 2017,"1.248.671.521,44"
20 jun 2017,"16.948.051.594,22"
19 jun 2017,"2.484.628.201,64"
16 jun 2017,"1.146.088.294,94"
14 jun 2017,"4.463.463.026,35"
13 jun 2017,"911.617.897,72"
12 jun 2017,"871.563.112,17"
09 jun 2017,"1.140.448.203,23"
08 jun 2017,"641.863.637,96"
07 jun 2017,"1.158.523.540,36"
06 jun 2017,"746.905.024,82"
05 jun 2017,"9.979.694.247,15"
02 jun 2017,"573.500.215,35"
01 jun 2017,"545.886.594,71"
31 mai 2017,"15.726.017.694,77"
30 mai 2017,"2.180.093.537,84"
29 mai 2017,"1.236.726.743,93"
26 mai 2017,"803.825.726,77"
25 mai 2017,"13.821.573.126,54"
24 mai 2017,"3.230.220.352,18"
23 mai 2017,"1.075.167.364,15"
22 mai 2017,"4.656.013.954,61"
19 mai 2017,"13.049.457.115,79"
18 mai 2017,"1.661.925.025,41"
17 mai 2017,"1.003.535.692,23"
16 mai 2017,"730.662.456,33"
15 mai 2017,"4.555.930.940,09"
12 mai 2017,"762.525.854,03"
11 mai 2017,"623.663.484,02"
10 mai 2017,"1.609.271.062,67"
09 mai 2017,"788.203.911,20"
08 mai 2017,"739.533.719,76"
05 mai 2017,"1.064.286.716,10"
04 mai 2017,"2.313.878.112,75"
03 mai 2017,"780.523.661,88"
02 mai 2017,"938.132.176,98"
28 abr 2017,"25.041.105.205,01"
27 abr 2017,"7.334.390.414,47"
26 abr 2017,"4.317.994.478,39"
25 abr 2017,"16.153.874.910,97"
24 abr 2017,"2.592.360.498,51"
20 abr 2017,"18.368.030.416,02"
19 abr 2017,"2.580.833.921,07"
18 abr 2017,"1.267.708.656,60"
17 abr 2017,"4.102.686.302,34"
13 abr 2017,"3.320.613.422,81"
12 abr 2017,"1.196.749.585,78"
11 abr 2017,"716.136.726,62"
10 abr 2017,"1.389.869.742,30"
07 abr 2017,"911.882.647,03"
06 abr 2017,"639.396.058,32"
05 abr 2017,"3.548.570.345,52"
04 abr 2017,"1.254.708.594,18"
03 abr 2017,"1.091.533.992,82"
31 mar 2017,"18.363.045.306,18"
30 mar 2017,"2.067.880.343,90"
29 mar 2017,"1.331.078.969,58"
28 mar 2017,"836.755.036,13"
27 mar 2017,"927.883.229,91"
24 mar 2017,"12.891.730.555,09"
23 mar 2017,"2.765.751.263,43"
22 mar 2017,"987.737.861,80"
21 mar 2017,"1.035.056.308,55"
20 mar 2017,"16.492.817.681,18"
17 mar 2017,"1.438.265.973,94"
16 mar 2017,"878.058.537,62"
15 mar 2017,"4.282.624.785,53"
14 mar 2017,"2.069.950.006,17"
13 mar 2017,"698.546.925,10"
10 mar 2017,"1.146.750.769,97"
09 mar 2017,"577.418.629,47"
08 mar 2017,"1.021.743.045,91"
07 mar 2017,"833.776.150,85"
06 mar 2017,"842.158.258,99"
03 mar 2017,"1.833.376.341,81"
02 mar 2017,"826.546.536,69"
01 mar 2017,"669.724.538,00"
24 fev 2017,"28.661.581.076,10"
23 fev 2017,"4.228.041.899,85"
22 fev 2017,"1.609.044.180,11"
21 fev 2017,"1.358.339.036,80"
20 fev 2017,"16.461.285.260,98"
17 fev 2017,"1.533.059.948,28"
16 fev 2017,"1.004.811.657,49"
15 fev 2017,"3.443.431.331,22"
14 fev 2017,"1.810.680.537,44"
13 fev 2017,"623.422.690,51"
10 fev 2017,"990.470.915,71"
09 fev 2017,"569.184.678,37"
08 fev 2017,"936.596.613,60"
07 fev 2017,"939.580.420,20"
06 fev 2017,"1.099.616.496,80"
03 fev 2017,"2.179.304.877,53"
02 fev 2017,"571.887.947,19"
01 fev 2017,"739.048.276,33"
31 jan 2017,"41.943.587.284,33"
30 jan 2017,"4.744.610.220,61"
27 jan 2017,"1.844.741.036,29"
26 jan 2017,"1.711.792.097,19"
25 jan 2017,"11.793.205.106,32"
24 jan 2017,"7.223.751.916,91"
23 jan 2017,"1.872.038.593,40"
20 jan 2017,"17.339.642.210,31"
19 jan 2017,"5.249.570.436,09"
18 jan 2017,"1.359.668.514,89"
17 jan 2017,"991.882.680,66"
16 jan 2017,"1.076.567.215,41"
13 jan 2017,"4.511.467.685,97"
12 jan 2017,"768.092.709,38"
11 jan 2017,"870.351.913,00"
10 jan 2017,"1.007.388.611,93"
09 jan 2017,"737.806.768,15"
06 jan 2017,"870.628.229,82"
05 jan 2017,"699.952.631,04"
04 jan 2017,"5.928.133.182,08"
03 jan 2017,"842.411.381,39"
02 jan 2017,"705.584.693,91"
30 dez 2016,"3.358.797.809,37"
29 dez 2016,"11.086.396.375,16"
28 dez 2016,"2.194.494.583,06"
27 dez 2016,"2.096.196.953,62"
26 dez 2016,"947.490.906,86"
23 dez 2016,"16.251.780.142,91"
22 dez 2016,"2.759.604.708,24"
21 dez 2016,"2.671.330.598,46"
20 dez 2016,"16.233.247.685,70"
19 dez 2016,"2.868.092.558,65"
16 dez 2016,"1.473.720.416,06"
15 dez 2016,"2.008.246.308,83"
14 dez 2016,"3.525.604.562,51"
13 dez 2016,"817.295.958,69"
12 dez 2016,"935.191.662,40"
09 dez 2016,"1.546.634.874,08"
08 dez 2016,"673.880.863,23"
07 dez 2016,"1.815.098.489,94"
06 dez 2016,"945.795.686,15"
05 dez 2016,"11.031.123.826,85"
02 dez 2016,"826.238.729,59"
01 dez 2016,"1.012.874.989,21"
30 nov 2016,"19.182.420.997,07"
29 nov 2016,"2.732.637.347,84"
28 nov 2016,"1.453.772.138,42"
25 nov 2016,"14.104.664.325,78"
24 nov 2016,"1.621.139.768,95"
23 nov 2016,"2.395.059.129,76"
22 nov 2016,"1.127.050.411,43"
21 nov 2016,"5.110.756.387,96"
18 nov 2016,"13.769.546.091,40"
17 nov 2016,"2.294.226.121,52"
16 nov 2016,"4.049.367.571,10"
14 nov 2016,"1.275.014.177,12"
11 nov 2016,"789.062.977,81"
10 nov 2016,"1.367.912.519,08"
09 nov 2016,"1.044.576.897,69"
08 nov 2016,"564.250.650,67"
07 nov 2016,"992.942.590,66"
04 nov 2016,"3.087.455.894,31"
03 nov 2016,"867.789.323,20"
01 nov 2016,"819.578.979,14"
31 out 2016,"27.896.148.295,92"
28 out 2016,"14.410.662.302,80"
27 out 2016,"10.278.111.775,58"
26 out 2016,"7.726.040.882,28"
25 out 2016,"19.713.918.265,74"
24 out 2016,"5.728.596.614,32"
21 out 2016,"3.030.827.017,39"
20 out 2016,"16.292.335.763,95"
19 out 2016,"2.642.400.270,30"
18 out 2016,"1.802.479.607,80"
17 out 2016,"2.450.139.378,50"
14 out 2016,"3.315.507.669,13"
13 out 2016,"1.258.775.539,42"
11 out 2016,"1.109.774.966,82"
10 out 2016,"1.478.510.529,12"
07 out 2016,"1.067.133.446,39"
06 out 2016,"835.543.582,30"
05 out 2016,"3.007.141.680,44"
04 out 2016,"628.102.322,86"
03 out 2016,"1.321.824.525,27"
30 set 2016,"15.359.959.164,73"
29 set 2016,"2.185.992.162,16"
28 set 2016,"1.582.543.986,35"
27 set 2016,"881.138.776,43"
26 set 2016,"1.179.216.114,33"
23 set 2016,"15.468.831.903,04"
22 set 2016,"1.491.004.035,67"
21 set 2016,"1.520.538.746,36"
20 set 2016,"15.285.768.736,32"
19 set 2016,"2.531.959.955,97"
16 set 2016,"1.706.502.714,98"
15 set 2016,"1.322.503.782,97"
14 set 2016,"2.840.857.059,02"
13 set 2016,"607.947.356,95"
12 set 2016,"801.095.504,56"
09 set 2016,"1.185.568.263,93"
08 set 2016,"902.035.577,86"
06 set 2016,"935.077.328,53"
05 set 2016,"3.064.191.749,36"
02 set 2016,"675.001.066,54"
01 set 2016,"659.520.235,58"
31 ago 2016,"13.980.706.831,10"
30 ago 2016,"1.971.344.589,80"
29 ago 2016,"1.258.814.223,11"
26 ago 2016,"809.598.446,14"
25 ago 2016,"13.384.372.732,87"
24 ago 2016,"3.091.008.419,47"
23 ago 2016,"1.249.237.143,50"
22 ago 2016,"4.398.312.862,11"
19 ago 2016,"11.376.999.078,21"
18 ago 2016,"1.239.083.309,72"
17 ago 2016,"1.466.078.333,94"
16 ago 2016,"955.052.171,00"
15 ago 2016,"3.299.673.191,80"
12 ago 2016,"1.709.666.499,56"
11 ago 2016,"724.131.625,26"
10 ago 2016,"1.250.479.224,67"
09 ago 2016,"736.342.825,03"
08 ago 2016,"775.555.441,77"
05 ago 2016,"641.238.662,70"
04 ago 2016,"602.007.706,90"
03 ago 2016,"2.275.259.725,42"
02 ago 2016,"712.580.289,85"
01 ago 2016,"680.209.096,17"
29 jul 2016,"25.627.047.460,04"
28 jul 2016,"2.704.177.763,01"
27 jul 2016,"1.643.722.841,51"
26 jul 2016,"1.101.016.600,60"
25 jul 2016,"15.839.436.785,67"
22 jul 2016,"1.714.999.172,74"
21 jul 2016,"951.568.209,78"
20 jul 2016,"16.531.254.508,57"
19 jul 2016,"2.056.729.547,04"
18 jul 2016,"1.323.022.704,69"
15 jul 2016,"1.289.851.424,96"
14 jul 2016,"1.811.284.163,40"
13 jul 2016,"2.654.020.479,52"
12 jul 2016,"747.369.894,28"
11 jul 2016,"552.680.049,75"
08 jul 2016,"1.111.383.525,69"
07 jul 2016,"841.998.654,62"
06 jul 2016,"932.065.078,22"
05 jul 2016,"3.016.339.060,50"
04 jul 2016,"864.721.866,94"
01 jul 2016,"1.181.258.074,79"
30 jun 2016,"14.302.028.094,20"
29 jun 2016,"1.718.392.428,27"
28 jun 2016,"1.041.779.274,23"
27 jun 2016,"1.075.826.462,04"
24 jun 2016,"12.209.266.063,44"
23 jun 2016,"3.562.705.543,16"
22 jun 2016,"1.259.823.403,72"
21 jun 2016,"818.865.709,54"
20 jun 2016,"16.309.114.727,54"
17 jun 2016,"1.401.091.134,63"
16 jun 2016,"1.303.525.429,96"
15 jun 2016,"3.178.669.229,91"
14 jun 2016,"1.926.934.523,57"
13 jun 2016,"773.023.599,46"
10 jun 2016,"970.904.035,14"
09 jun 2016,"648.333.906,93"
08 jun 2016,"931.164.570,32"
07 jun 2016,"901.431.365,95"
06 jun 2016,"691.627.680,42"
03 jun 2016,"8.591.950.529,45"
02 jun 2016,"648.830.713,87"
01 jun 2016,"676.055.306,17"
31 mai 2016,"15.465.582.458,35"
30 mai 2016,"2.124.278.154,00"
27 mai 2016,"771.320.230,02"
25 mai 2016,"15.477.386.285,11"
24 mai 2016,"1.613.373.323,15"
23 mai 2016,"1.102.700.861,06"
20 mai 2016,"15.589.001.914,78"
19 mai 2016,"2.073.987.922,38"
18 mai 2016,"1.147.489.125,35"
17 mai 2016,"757.619.045,04"
16 mai 2016,"2.001.076.606,73"
13 mai 2016,"3.602.623.106,68"
12 mai 2016,"739.412.820,52"
11 mai 2016,"1.548.362.136,03"
10 mai 2016,"1.805.923.107,08"
09 mai 2016,"815.909.656,55"
06 mai 2016,"774.170.347,66"
05 mai 2016,"690.734.845,44"
04 mai 2016,"2.270.225.263,32"
03 mai 2016,"778.496.812,25"
02 mai 2016,"893.466.150,94"
29 abr 2016,"26.060.666.022,92"
28 abr 2016,"3.844.856.368,03"
27 abr 2016,"2.316.717.150,94"
26 abr 2016,"3.527.595.430,72"
25 abr 2016,"15.188.786.717,78"
22 abr 2016,"1.111.242.159,74"
20 abr 2016,"17.174.272.489,92"
19 abr 2016,"2.359.958.810,33"
18 abr 2016,"1.505.696.451,41"
15 abr 2016,"1.519.456.832,37"
14 abr 2016,"3.973.344.700,42"
13 abr 2016,"2.721.108.313,14"
12 abr 2016,"620.420.789,69"
11 abr 2016,"700.508.044,43"
08 abr 2016,"1.107.544.692,40"
07 abr 2016,"915.162.020,72"
06 abr 2016,"810.259.639,50"
05 abr 2016,"3.090.690.628,74"
04 abr 2016,"753.174.867,39"
01 abr 2016,"758.501.335,34"
31 mar 2016,"17.930.172.650,08"
30 mar 2016,"2.403.182.001,07"
29 mar 2016,"1.125.698.395,81"
28 mar 2016,"1.123.037.779,27"
24 mar 2016,"12.430.997.671,28"
23 mar 2016,"3.023.699.519,27"
22 mar 2016,"1.174.857.260,54"
21 mar 2016,"4.649.674.467,42"
18 mar 2016,"12.291.529.034,96"
17 mar 2016,"1.167.440.828,99"
16 mar 2016,"1.167.345.071,33"
15 mar 2016,"3.609.699.523,45"
14 mar 2016,"2.555.098.583,15"
11 mar 2016,"613.425.296,78"
10 mar 2016,"1.171.828.473,83"
09 mar 2016,"978.020.394,36"
08 mar 2016,"886.040.122,86"
07 mar 2016,"884.338.626,43"
04 mar 2016,"656.617.646,28"
03 mar 2016,"2.306.268.114,75"
02 mar 2016,"699.273.165,23"
01 mar 2016,"641.345.560,67"
29 fev 2016,"13.863.314.825,71"
26 fev 2016,"1.360.469.533,10"
25 fev 2016,"13.724.506.350,25"
24 fev 2016,"3.207.905.499,05"
23 fev 2016,"1.013.947.936,56"
22 fev 2016,"4.363.049.770,06"
19 fev 2016,"11.078.614.390,88"
18 fev 2016,"1.547.452.824,32"
17 fev 2016,"917.997.955,42"
16 fev 2016,"811.061.987,26"
15 fev 2016,"3.333.721.515,75"
12 fev 2016,"2.795.819.869,30"
11 fev 2016,"859.618.688,44"
10 fev 2016,"1.355.004.507,54"
05 fev 2016,"839.038.343,83"
04 fev 2016,"752.773.624,54"
03 fev 2016,"2.503.796.833,38"
02 fev 2016,"666.176.737,05"
01 fev 2016,"1.044.067.787,56"
29 jan 2016,"37.127.921.420,97"
28 jan 2016,"3.781.465.412,95"
27 jan 2016,"1.569.154.648,26"
26 jan 2016,"1.576.600.941,63"
25 jan 2016,"12.546.730.403,94"
22 jan 2016,"6.941.830.868,19"
21 jan 2016,"1.924.987.354,58"
20 jan 2016,"16.808.969.345,21"
19 jan 2016,"5.248.391.248,85"
18 jan 2016,"1.516.137.244,40"
15 jan 2016,"3.896.700.000,44"
14 jan 2016,"800.629.046,50"
13 jan 2016,"2.814.462.419,63"
12 jan 2016,"738.705.756,94"
11 jan 2016,"715.698.181,62"
08 jan 2016,"1.473.336.187,63"
07 jan 2016,"1.065.035.839,92"
06 jan 2016,"5.430.203.599,35"
05 jan 2016,"993.663.752,07"
04 jan 2016,"902.968.454,74"
31 dez 2015,"2.705.729.558,98"
30 dez 2015,"10.121.055.119,10"
29 dez 2015,"2.383.954.119,75"
28 dez 2015,"7.223.944.423,98"
24 dez 2015,"8.142.189.522,93"
23 dez 2015,"9.362.584.443,97"
22 dez 2015,"2.157.564.951,11"
21 dez 2015,"5.552.417.323,43"
18 dez 2015,"12.995.538.786,38"
17 dez 2015,"2.209.141.837,68"
16 dez 2015,"1.766.075.758,20"
15 dez 2015,"6.066.183.054,66"
14 dez 2015,"1.031.417.880,16"
11 dez 2015,"795.654.076,93"
10 dez 2015,"1.392.378.619,13"
09 dez 2015,"1.296.102.405,97"
08 dez 2015,"852.020.218,82"
07 dez 2015,"974.091.519,16"
04 dez 2015,"793.132.278,80"
03 dez 2015,"9.407.220.577,14"
02 dez 2015,"1.085.678.537,45"
01 dez 2015,"1.069.841.460,97"
30 nov 2015,"17.499.752.969,13"
27 nov 2015,"2.067.145.457,17"
26 nov 2015,"1.040.218.143,87"
25 nov 2015,"16.600.488.986,34"
24 nov 2015,"1.787.555.390,00"
23 nov 2015,"2.554.959.745,30"
20 nov 2015,"6.573.998.497,26"
19 nov 2015,"8.783.462.692,27"
18 nov 2015,"1.567.900.893,01"
17 nov 2015,"823.803.613,54"
16 nov 2015,"994.699.312,50"
13 nov 2015,"3.336.781.016,75"
12 nov 2015,"692.605.938,48"
11 nov 2015,"852.665.670,51"
10 nov 2015,"1.321.444.907,98"
09 nov 2015,"768.392.493,83"
06 nov 2015,"939.876.017,00"
05 nov 2015,"3.256.177.134,65"
04 nov 2015,"690.107.119,41"
03 nov 2015,"866.930.696,88"
30 out 2015,"22.673.831.820,07"
29 out 2015,"3.195.891.683,58"
28 out 2015,"1.784.447.659,12"
27 out 2015,"1.256.855.319,80"
26 out 2015,"1.294.828.343,48"
23 out 2015,"15.185.849.095,10"
22 out 2015,"1.702.401.584,28"
21 out 2015,"1.267.303.819,63"
20 out 2015,"15.336.897.973,83"
19 out 2015,"2.038.975.900,64"
16 out 2015,"930.954.315,03"
15 out 2015,"3.499.644.757,24"
14 out 2015,"1.262.814.055,07"
13 out 2015,"813.968.742,00"
09 out 2015,"1.387.557.673,82"
08 out 2015,"806.678.968,09"
07 out 2015,"862.144.802,85"
06 out 2015,"607.864.555,60"
05 out 2015,"3.286.147.214,12"
02 out 2015,"692.293.402,57"
01 out 2015,"742.267.994,55"
30 set 2015,"14.835.254.404,89"
29 set 2015,"2.128.696.886,81"
28 set 2015,"1.174.882.731,36"
25 set 2015,"15.115.584.483,64"
24 set 2015,"1.687.062.558,26"
23 set 2015,"2.686.169.908,31"
22 set 2015,"1.069.157.394,18"
21 set 2015,"4.697.064.945,72"
18 set 2015,"11.929.724.273,84"
17 set 2015,"1.356.329.226,34"
16 set 2015,"1.045.022.186,08"
15 set 2015,"5.519.404.733,87"
14 set 2015,"1.074.108.563,98"
11 set 2015,"777.450.446,11"
10 set 2015,"2.195.543.140,40"
09 set 2015,"1.122.111.945,10"
08 set 2015,"722.532.301,63"
04 set 2015,"771.571.448,14"
03 set 2015,"2.765.068.568,45"
02 set 2015,"707.565.734,56"
01 set 2015,"767.888.657,47"
31 ago 2015,"16.804.888.633,04"
28 ago 2015,"1.657.099.835,42"
27 ago 2015,"1.124.623.140,09"
26 ago 2015,"879.867.917,84"
25 ago 2015,"15.803.397.616,39"
24 ago 2015,"1.763.758.349,16"
21 ago 2015,"1.070.696.365,74"
20 ago 2015,"14.867.100.466,15"
19 ago 2015,"2.108.589.946,42"
18 ago 2015,"1.118.999.059,59"
17 ago 2015,"975.124.032,72"
14 ago 2015,"3.346.933.132,72"
13 ago 2015,"2.393.821.773,06"
12 ago 2015,"963.109.693,34"
11 ago 2015,"757.255.929,58"
10 ago 2015,"1.322.959.903,09"
07 ago 2015,"604.791.375,29"
06 ago 2015,"767.905.024,92"
05 ago 2015,"2.712.241.906,53"
04 ago 2015,"661.634.017,69"
03 ago 2015,"749.194.792,50"
31 jul 2015,"23.187.328.968,41"
30 jul 2015,"2.866.056.398,41"
29 jul 2015,"1.747.594.957,93"
28 jul 2015,"1.058.678.732,22"
27 jul 2015,"1.316.408.894,07"
24 jul 2015,"13.100.511.820,12"
23 jul 2015,"2.912.208.881,74"
22 jul 2015,"976.236.406,01"
21 jul 2015,"872.812.095,25"
20 jul 2015,"15.193.449.564,93"
17 jul 2015,"1.524.946.743,16"
16 jul 2015,"2.174.547.387,85"
15 jul 2015,"4.112.220.496,93"
14 jul 2015,"2.828.384.376,34"
13 jul 2015,"1.483.962.842,28"
10 jul 2015,"1.136.961.003,35"
09 jul 2015,"309.630.621,60"
08 jul 2015,"1.109.215.479,56"
07 jul 2015,"640.094.684,92"
06 jul 2015,"835.725.077,49"
03 jul 2015,"2.637.023.242,66"
02 jul 2015,"764.499.490,54"
01 jul 2015,"815.261.966,97"
30 jun 2015,"15.791.715.523,17"
29 jun 2015,"1.702.403.951,24"
26 jun 2015,"1.049.075.728,55"
25 jun 2015,"13.651.045.994,85"
24 jun 2015,"3.215.863.997,25"
23 jun 2015,"941.224.087,99"
22 jun 2015,"4.691.251.171,52"
19 jun 2015,"9.805.679.828,64"
18 jun 2015,"1.372.150.307,76"
17 jun 2015,"1.012.676.841,37"
16 jun 2015,"815.258.045,53"
15 jun 2015,"6.731.427.593,92"
12 jun 2015,"796.679.587,12"
11 jun 2015,"631.378.478,96"
10 jun 2015,"1.421.397.937,46"
09 jun 2015,"751.080.333,02"
08 jun 2015,"1.075.729.158,07"
05 jun 2015,"622.077.025,35"
03 jun 2015,"7.958.263.884,61"
02 jun 2015,"711.188.493,98"
01 jun 2015,"1.015.312.841,55"
29 mai 2015,"15.334.463.048,33"
28 mai 2015,"2.874.163.077,46"
27 mai 2015,"1.088.495.392,91"
26 mai 2015,"1.049.047.168,32"
25 mai 2015,"16.119.768.023,93"
22 mai 2015,"1.296.011.068,97"
21 mai 2015,"1.046.803.095,12"
20 mai 2015,"13.429.841.045,95"
19 mai 2015,"1.827.014.226,88"
18 mai 2015,"1.341.250.352,85"
15 mai 2015,"4.163.279.788,35"
14 mai 2015,"701.167.911,02"
13 mai 2015,"2.505.570.857,15"
12 mai 2015,"865.839.186,31"
11 mai 2015,"897.220.400,81"
08 mai 2015,"1.131.150.689,29"
07 mai 2015,"702.456.867,44"
06 mai 2015,"2.426.985.003,33"
05 mai 2015,"568.643.632,23"
04 mai 2015,"734.586.517,78"
30 abr 2015,"25.799.023.502,57"
29 abr 2015,"3.979.341.321,64"
28 abr 2015,"2.230.405.235,30"
27 abr 2015,"1.907.681.615,36"
24 abr 2015,"16.719.187.043,80"
23 abr 2015,"1.664.624.770,78"
22 abr 2015,"1.472.028.990,86"
20 abr 2015,"12.659.166.029,24"
17 abr 2015,"3.595.206.258,94"
16 abr 2015,"1.113.955.938,58"
15 abr 2015,"8.609.296.753,17"
14 abr 2015,"890.597.238,03"
13 abr 2015,"963.502.614,71"
10 abr 2015,"1.065.684.223,14"
09 abr 2015,"633.986.474,50"
08 abr 2015,"1.812.519.748,50"
07 abr 2015,"658.506.579,80"
